province_n,district_n,sector_nam,cell_name,mean,median,sum
Amajyaruguru,Musanze,Gacaca,Kabirizi,0.5784737666447958,0.6802616119384766,27.766740798950195
Amajyaruguru,Musanze,Gacaca,Karwasa,1.1295668738228934,1.0018432140350342,31.627872467041016
Amajyaruguru,Musanze,Gashaki,Kigabiro,0.011552370407364586,0.0,0.5083042979240417
Amajyaruguru,Musanze,Gashaki,Kivumu,0.0,0.0,0.0
Amajyaruguru,Musanze,Gashaki,Mbwe,0.33156129717826843,0.0,10.60996150970459
Amajyaruguru,Musanze,Gashaki,Muharuro,0.0,0.0,0.0
Amajyaruguru,Musanze,Gataraga,Mudakama,0.01181029433935461,0.0,0.8385308980941772
Amajyaruguru,Musanze,Gataraga,Murago,0.25223469734191895,0.0,6.053632736206055
Amajyaruguru,Musanze,Gataraga,Rubindi,0.5532691261985085,0.5765421390533447,18.25788116455078
Amajyaruguru,Musanze,Gataraga,Rungu,0.0871692384992327,0.0,8.542585372924805
Amajyaruguru,Musanze,Kimonyi,Birira,2.152793748038156,1.6398957967758179,60.27822494506836
Amajyaruguru,Musanze,Kimonyi,Buramira,0.47325606779618695,0.0,10.411633491516113
Amajyaruguru,Musanze,Kimonyi,Kivumu,1.0105371475219727,0.7683558464050293,24.252891540527344
Amajyaruguru,Musanze,Kimonyi,Mbizi,0.07214334136561344,0.0,1.3707234859466553
Amajyaruguru,Musanze,Kinigi,Bisoke,0.0,0.0,0.0
Amajyaruguru,Musanze,Kinigi,Kaguhu,0.23066386154719762,0.0,12.917176246643066
Amajyaruguru,Musanze,Kinigi,Kampanga,1.0296203258425691,0.5948090553283691,44.27367401123047
Amajyaruguru,Musanze,Kinigi,Nyabigoma,0.12097668117947048,0.0,10.887901306152344
Amajyaruguru,Musanze,Kinigi,Nyonirima,0.6083166702933933,0.5203298330307007,41.97385025024414
Amajyaruguru,Musanze,Muhoza,Cyabararika,3.2997774759928387,1.9522606134414673,98.99332427978516
Amajyaruguru,Musanze,Muhoza,Kigombe,3.516534693100873,1.9972610473632812,119.56217956542969
Amajyaruguru,Musanze,Muhoza,Mpenge,14.895195007324219,14.607210159301758,178.74234008789062
Amajyaruguru,Musanze,Muhoza,Ruhengeri,7.3535003662109375,6.235198497772217,191.19100952148438
Amajyaruguru,Musanze,Muko,Cyivugiza,1.2856842676798503,0.9391313195228577,30.856422424316406
Amajyaruguru,Musanze,Muko,Cyogo,0.0,0.0,0.0
